round	firstVariant	application	metric	quantile	baselineValue	candidateValue	maximumRegression	regressionPassed	direction	relativeDifference
0	baseline	heat_diffusion	wallMs	p50Ms	0.5787199999999757	0.5587219999999888	0.05	True	reverse	-0.03455557091510175
0	baseline	heat_diffusion	wallMs	p95Ms	1.0495070000000055	0.8777230000000031	0.05	True	reverse	-0.16368066149153981
0	baseline	heat_diffusion	wallMs	p99Ms	1.2942469999999844	1.155335999999977	0.05	True	reverse	-0.10732959010143273
0	baseline	heat_diffusion	cpuMs	p50Ms	0.435	0.417	0.1	True	reverse	-0.04137931034482767
0	baseline	heat_diffusion	cpuMs	p95Ms	1.032	0.902	0.1	True	reverse	-0.12596899224806202
0	baseline	heat_diffusion	cpuMs	p99Ms	1.646	1.891	0.1	False	reverse	0.1488456865127583
0	baseline	heat_diffusion	upload	p50Ms	0.01402699999999868	0.013715999999988071	0.05	True	reverse	-0.02217152634281294
0	baseline	heat_diffusion	upload	p95Ms	0.02458599999999933	0.01820500000002312	0.05	True	reverse	-0.2595379484249729
0	baseline	heat_diffusion	upload	p99Ms	0.04271099999999706	0.03175000000004502	0.05	True	reverse	-0.2566317810389078
0	baseline	heat_diffusion	encode	p50Ms	0.06210700000002589	0.05877099999997881	0.05	True	reverse	-0.05371375207377094
0	baseline	heat_diffusion	encode	p95Ms	0.12872300000003634	0.0897600000000125	0.05	True	reverse	-0.3026887191878129
0	baseline	heat_diffusion	encode	p99Ms	0.21557699999999613	0.16099300000001904	0.05	True	reverse	-0.2531995528278902
0	baseline	heat_diffusion	submitWait	p50Ms	0.23155600000001186	0.2206560000000195	0.05	True	reverse	-0.04707284630928066
0	baseline	heat_diffusion	submitWait	p95Ms	0.36917499999998427	0.2901469999999904	0.05	True	reverse	-0.21406649962754043
0	baseline	heat_diffusion	submitWait	p99Ms	0.4931479999999624	0.4210429999999974	0.05	True	reverse	-0.1462137127190427
0	baseline	heat_diffusion	readback	p50Ms	0.02253200000001243	0.021390999999994165	0.05	True	reverse	-0.0506390910712603
0	baseline	heat_diffusion	readback	p95Ms	0.0554639999999722	0.045565999999951146	0.05	True	reverse	-0.17845809894753384
0	baseline	heat_diffusion	readback	p99Ms	0.475496000000021	0.40531600000002754	0.05	True	reverse	-0.1475932499957736
0	baseline	heat_diffusion	total	p50Ms	0.4486180000000104	0.4308110000000056	0.05	True	reverse	-0.03969301276365278
0	baseline	heat_diffusion	total	p95Ms	0.8371869999999717	0.7148460000000227	0.05	True	reverse	-0.14613342060967638
0	baseline	heat_diffusion	total	p99Ms	1.0762980000000084	0.936394000000007	0.05	True	reverse	-0.12998630490812046
0	baseline	image_edges	deviceStartupMs	p50Ms	55.425584000000015	53.15875299999999	0.05	True	forward	-0.04089863987720954
0	baseline	image_edges	deviceStartupMs	p95Ms	66.468785	61.924283999999986	0.05	True	forward	-0.06837045389049934
